City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,yar-sale,66.8333,70.8333,-2.42,91,99,15.32,RU,1675809205
293,lasa,46.6166,10.7002,29.28,74,4,1.25,IT,1675809254
294,chipinge,-20.1883,32.6236,61.97,84,32,4.18,ZW,1675809257
295,korem,12.5058,39.5228,50.16,58,2,3.13,ET,1675809260
296,teya,60.3778,92.6267,10.58,97,100,2.62,RU,1675809260
297,cabo san lucas,22.8909,-109.9124,79.61,54,85,4.0,MX,1675809262
298,walvis bay,-22.9575,14.5053,66.09,88,32,5.75,NA,1675809263
299,mwense,-10.3845,28.698,64.83,97,100,3.78,ZM,1675809272
300,visby,57.6409,18.296,35.82,87,100,10.36,SE,1675809201
301,seydi,39.4816,62.9137,49.15,39,97,15.12,TM,1675809278
302,nsanje,-16.92,35.262,74.25,88,100,1.99,MW,1675809280
303,awjilah,29.1081,21.2869,51.71,56,100,8.08,LY,1675809285
304,chimore,-16.9833,-65.1333,73.62,97,99,1.25,BO,1675809286
305,olga,43.7444,135.2892,13.28,75,96,4.99,RU,1675809287
306,killybegs,54.6333,-8.45,40.71,92,29,8.68,IE,1675809289
307,general cepeda,25.3833,-101.45,82.08,9,58,11.12,MX,1675809290
308,san jose,37.3394,-121.895,63.41,49,100,5.99,US,1675809129
309,auki,-8.7676,160.7034,82.17,79,94,5.35,SB,1675809291
310,katobu,-4.9408,122.5276,77.61,85,93,1.41,ID,1675809115
311,derzhavinsk,51.1,66.3167,-7.06,100,89,5.46,KZ,1675809292
312,ratnagiri,16.9833,73.3,70.27,69,100,3.98,IN,1675809293
313,amapa,1.0,-52.0,72.45,98,100,2.84,BR,1675809293
314,port hardy,50.6996,-127.4199,42.98,93,75,5.75,CA,1675809069
315,vanavara,60.34,102.2797,-6.3,100,100,2.26,RU,1675809295
316,parabel,58.6978,81.4825,-0.71,98,96,5.68,RU,1675809295
317,portobelo,9.55,-79.65,76.1,85,91,16.91,PA,1675809295
318,ixtapa,20.7,-105.2,76.23,73,0,12.66,MX,1675809296
319,manakara,-22.1333,48.0167,72.82,89,100,1.72,MG,1675809297
320,luderitz,-26.6481,15.1594,66.58,80,4,17.92,NA,1675809297
321,kuchl,47.6265,13.1448,24.48,87,24,3.6,AT,1675809298
322,gazanjyk,39.2446,55.5154,52.21,45,100,6.22,TM,1675809298
323,salinopolis,-0.6136,-47.3561,78.15,86,78,10.94,BR,1675809298
324,porto novo,6.4965,2.6036,84.02,81,91,7.07,BJ,1675809299
325,ahipara,-35.1667,173.1667,70.43,59,97,7.38,NZ,1675809300
326,westport,41.1415,-73.3579,39.56,70,0,8.05,US,1675809067
327,maceio,-9.6658,-35.7353,78.24,83,0,6.91,BR,1675809213
328,inongo,-1.95,18.2667,75.61,77,84,5.55,CD,1675809302
329,kahului,20.8947,-156.47,81.97,75,40,25.32,US,1675809296
330,bubaque,11.2833,-15.8333,75.22,70,32,17.07,GW,1675809309
331,kargasok,59.0556,80.8572,0.16,97,94,5.95,RU,1675809315
332,dingle,10.9995,122.6711,74.21,92,100,7.9,PH,1675809317
333,deputatskiy,69.3,139.9,-46.61,99,58,4.25,RU,1675809319
334,del rio,29.3627,-100.8968,71.62,56,100,18.41,US,1675809323
335,jingdezhen,29.2947,117.2079,50.85,96,100,3.83,CN,1675809326
336,shubarshi,48.5872,57.1869,9.32,87,98,14.88,KZ,1675809328
337,meulaboh,4.1363,96.1285,74.88,83,100,2.84,ID,1675809239
338,marktoberdorf,47.7833,10.6167,22.8,77,8,4.61,DE,1675809338
339,saint-georges,12.0564,-61.7485,78.48,83,75,21.85,GD,1675809227
340,kieta,-6.2167,155.6333,81.9,79,89,8.57,PG,1675809339
341,tombouctou,20.0,-3.0,68.9,18,50,12.19,ML,1675809340
342,mumford,5.2618,-0.759,78.84,88,11,6.87,GH,1675809340
343,mata,40.683,-7.4592,46.0,78,35,3.71,PT,1675809341
344,menongue,-14.6585,17.691,61.59,91,100,1.61,AO,1675809341
345,bandundu,-3.3167,17.3667,74.41,82,66,2.86,CD,1675809342
346,tazovskiy,67.4667,78.7,-13.77,99,99,4.88,RU,1675809074
347,nizwa,22.9333,57.5333,68.92,36,16,2.1,OM,1675809343
348,bonfim,3.0833,-59.95,85.01,57,86,4.65,BR,1675809344
349,zaton,53.2936,83.8072,9.99,85,75,6.71,RU,1675809344
350,goias,-15.5807,-49.6362,72.79,81,52,3.22,BR,1675809345
351,sabla,12.7525,4.7077,75.47,12,100,10.31,NG,1675809345
352,gizo,-8.103,156.8419,83.39,76,99,15.17,SB,1675809345
353,cullera,39.1667,-0.25,50.77,72,100,3.0,ES,1675809346
354,zhanakorgan,43.9098,67.2495,35.13,60,100,6.62,KZ,1675809346
355,bozeman,45.6796,-111.0386,47.62,39,0,0.0,US,1675809346
356,tampere,61.4991,23.7871,34.0,96,100,5.75,FI,1675809347
357,yima,34.7381,111.8839,37.22,69,100,9.1,CN,1675809349
358,fare,-16.7,-151.0167,80.64,71,18,11.12,PF,1675809350
359,lahij,13.1667,44.5833,69.53,66,10,3.04,YE,1675809351
360,brodokalmak,55.5748,62.082,0.5,100,100,4.18,RU,1675809215
361,ascension,30.2169,-90.9001,80.82,69,75,5.75,US,1675809351
362,huarmey,-10.0681,-78.1522,75.25,75,14,8.9,PE,1675809352
363,ribeira grande,38.5167,-28.7,55.78,66,63,11.99,PT,1675809177
364,nanortalik,60.1432,-45.2371,4.93,68,35,21.99,GL,1675809352
365,akdepe,42.0551,59.3788,42.89,60,100,15.21,TM,1675809353
366,honningsvag,70.9821,25.9704,33.55,86,75,21.85,NO,1675809353
